	Quotes	Themes
34	[King George III] had denounced the leaders of the uprising for having American independence as their true objective, something those leaders themselves had not yet openly declared.	"[""leadership"", ""idealism-vs-practicality"", ""colonial-society"", ""british-society""]"
35	"There had been sickness aplenty from the start, deadly ""camp fever,"" which grew worse as summer went on. Anxious mothers and wives from the surrounding towns and countryside came to nurse the sick and dying."	"[""idealism-vs-practicality"", ""colonial-society""]"
36	But for all his raw courage in the heat and tumult of war, Billy Howe could be, in the intervals between actions, slow-moving, procrastinating, negligent in preparing for action, interested more in his own creature comforts and pleasures.	"[""leadership"", ""british-society""]"
37	"Furthermore, as he knew, discipline was hardly improved, and too many of the new troops were raw recruits as unruly as those of the summer before. Some who were lauded as shining examples of patriotism looked hardly fit for battle, like the Connecticut unit comprised entirely of ""aged gentlemen."""	"[""military-strategy"", ""leadership"", ""idealism-vs-practicality""]"
38	Remember officers and soldiers that you are free men, fighting for the blessings of liberty- that slavery will be your portion, and that of your posterity, if you do not acquit yourselves like men.	"[""leadership"", ""idealism-vs-practicality""]"
39	There was no ringing call for valor in the cause of country or the blessings of liberty, as Washington had exhorted his troops at Brooklyn, only a final reminder of the effectiveness of bayonets.	"[""leadership"", ""idealism-vs-practicality""]"
40	"Possibly, Washington was more hurt than angry. Later he would tell Reed, ""I was hurt not because I thought my judgment wronged by the expressions contained in it [the letter], but because the same sentiments were not communicated immediately to myself."" Possibly the charge of ""fatal indecision of mind"" also hurt deeply, because Washington knew it to be true."	"[""leadership""]"
41	Thus far the history of my life presents nothing whatever unusual—nothing but the common hopes, and loves, and labors of an obscure colored man, making his humble progress in the world […] Now I had approached within the shadow of the cloud, into the thick darkness whereof I was soon to disappear, thenceforward to be hidden from the eyes of all my kindred, and shut out from the sweet light of liberty, for many a weary year.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
42	The idea struck me as a prudent one, though I think it would scarcely have occurred to me, had they not proposed it […] I must confess, that the papers were scarcely worth the cost of obtaining them—the apprehension of danger to my personal safety never having suggested itself to me in the remotest manner.	"[""racism-and-slavery"", ""truth-and-justice""]"
43	Though suspicions of Brown and Hamilton were not unfrequent, I could not reconcile myself to the idea that they were instrumental to my imprisonment. Surely they would seek me out—they would deliver me from thraldom. Alas! I had not then learned the measure “man’s inhumanity to man,” nor to what limitless extent of wickedness he will go for the love of gain.	"[""racism-and-slavery"", ""truth-and-justice""]"
44	So we passed, hand-cuffed and in silence, through the streets of Washington—though the Capital of a nation, whose theory of government, we are told, rests on the foundation of man’s inalienable right to life, LIBERTY, and the pursuit of happiness! Hail! Columbia, happy land indeed! 	"[""racism-and-slavery"", ""truth-and-justice""]"
45	My cup of sorrow was full to overflowing. Then I lifted up my hands to God, and in the still watches of the night […] begged for mercy on the poor, forsaken captive. To the Almighty Father of us all—the freeman and the slave—I poured forth the supplications of a broken spirit, imploring strength from on high to bear up against the burden of my troubles […].	"[""racism-and-slavery"", ""family"", ""christianity""]"
46	He would make us hold up our heads, walk briskly back and forth, while customers would feel of our hands and arms and bodies, turn us about, ask us what we could do, make us open our mouths and show our teeth, precisely as a jockey examines a horse which he is about to barter for or purchase. 	"[""racism-and-slavery""]"
47	The influences and associations that had always surrounded him, blinded him to the inherent wrong at the bottom of the system of Slavery. He never doubted the moral right of one man holding another in subjection. Looking through the same medium with his fathers before him, he saw things in the same light. Brought up under other circumstances and influences, his notions would undoubtedly have been different.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
48	He was my master, entitled by law to my flesh and blood, and to exercise over me such tyrannical control as his mean nature prompted; but there was no law that could prevent my looking upon him with intense contempt.	"[""racism-and-slavery"", ""truth-and-justice""]"
49	I must toil day after day, endure abuse and taunts and scoffs, sleep on the hard ground, live on the coarsest fare, and not only this, but live the slave of a blood-seeking wretch, of whom I must stand henceforth in continued fear and dread. […] I sighed for liberty; but the bondman’s chain was round me, and could not be shaken off.	"[""racism-and-slavery"", ""truth-and-justice""]"
50	Bent with excessive toil—actually suffering for a little refreshing rest, and feeling rather as if we could cast ourselves upon the earth and weep, many a night in the house of Edwin Epps have his unhappy slaves been made to dance and laugh. 	"[""racism-and-slavery"", ""the-power-of-music""]"
51	The existence of Slavery in its most cruel form among them has a tendency to brutalize the humane and finer feelings of their nature. Daily witnesses of human suffering—listening to the agonizing screeches of the human slave—beholding him writhing beneath the merciless lash—bitten and torn by dogs—dying without attention, and buried without shroud or coffin—it cannot otherwise be expected, than that they should become brutified and reckless of human life. 	"[""racism-and-slavery"", ""truth-and-justice""]"
52	Alas! Had it not been for my beloved violin, I scarcely can conceive how I could have endured the long years of bondage. It […] relieved me of many days’ labor in the field […] and oftentimes led me away from the presence of a hard master. […] It was my companion—the friend of my bosom—triumphing loudly when I was joyful, and uttering its soft, melodious consolations when I was sad. Often […] it would sing me a song of peace.	"[""racism-and-slavery"", ""christianity"", ""the-power-of-music""]"
53	No man who has never been placed in such a situation, can comprehend the thousand obstacles thrown in the way of the flying slave. Every white man’s hand is raised against him—the patrollers are watching for him—the hounds are ready to follow on his track—and the nature of the country is such as renders it impossible to pass through it with any safety.	"[""racism-and-slavery"", ""truth-and-justice""]"
54	It was the Sabbath of the Lord. The fields smiled in the warm sunlight—the birds chirped merrily amidst the foliage of the trees—peace and happiness seemed to reign everywhere, save in the bosoms of Epps and his panting victim and the silent witnesses around him. The tempestuous emotions that were raging there were little in harmony with the calm and quiet beauty of the day. I could look on Epps only with unutterable loathing and abhorrence, and thought within myself—“Thou devil, sooner or later, somewhere in the course of eternal justice, thou shalt answer for this sin!”	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
55	If they are baboons, or stand no higher in the scale of intelligence than such animals, you and men like you will have to answer for it. There’s a sin, a fearful sin, resting on this nation, that will not go unpunished forever. There will be a reckoning yet—yes, Epps, there’s a day coming that will burn as an oven. It may be sooner or it may be later, but it’s a coming as sure as the Lord is just. 	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
56	The secret was out—the mystery was unraveled. Through the thick, black cloud, amid whose dark and dismal shadows I had walked twelve years, broke the star that was to light me back to liberty.	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
57	I was then offered as a witness, but, objection being made, the court decided my evidence inadmissible. It was rejected solely on the ground that I was a colored man—the fact of my being a free citizen of New-York not being disputed. […] Burch himself was offered as a witness in his own behalf. It was contended by counsel for the people, that such testimony should not be allowed—that it was in contravention of every rule of evidence, and if permitted would defeat the ends of justice. His testimony, however, was received by the court!	"[""racism-and-slavery"", ""truth-and-justice""]"
58	[King George III] had denounced the leaders of the uprising for having American independence as their true objective, something those leaders themselves had not yet openly declared.	"[""leadership"", ""idealism-vs-practicality"", ""colonial-society"", ""british-society""]"
59	"There had been sickness aplenty from the start, deadly ""camp fever,"" which grew worse as summer went on. Anxious mothers and wives from the surrounding towns and countryside came to nurse the sick and dying."	"[""idealism-vs-practicality"", ""colonial-society""]"
60	But for all his raw courage in the heat and tumult of war, Billy Howe could be, in the intervals between actions, slow-moving, procrastinating, negligent in preparing for action, interested more in his own creature comforts and pleasures.	"[""leadership"", ""british-society""]"
61	"Furthermore, as he knew, discipline was hardly improved, and too many of the new troops were raw recruits as unruly as those of the summer before. Some who were lauded as shining examples of patriotism looked hardly fit for battle, like the Connecticut unit comprised entirely of ""aged gentlemen."""	"[""military-strategy"", ""leadership"", ""idealism-vs-practicality""]"
62	Remember officers and soldiers that you are free men, fighting for the blessings of liberty- that slavery will be your portion, and that of your posterity, if you do not acquit yourselves like men.	"[""leadership"", ""idealism-vs-practicality""]"
63	There was no ringing call for valor in the cause of country or the blessings of liberty, as Washington had exhorted his troops at Brooklyn, only a final reminder of the effectiveness of bayonets.	"[""leadership"", ""idealism-vs-practicality""]"
64	"Possibly, Washington was more hurt than angry. Later he would tell Reed, ""I was hurt not because I thought my judgment wronged by the expressions contained in it [the letter], but because the same sentiments were not communicated immediately to myself."" Possibly the charge of ""fatal indecision of mind"" also hurt deeply, because Washington knew it to be true."	"[""leadership""]"
65	Thus far the history of my life presents nothing whatever unusual—nothing but the common hopes, and loves, and labors of an obscure colored man, making his humble progress in the world […] Now I had approached within the shadow of the cloud, into the thick darkness whereof I was soon to disappear, thenceforward to be hidden from the eyes of all my kindred, and shut out from the sweet light of liberty, for many a weary year.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
66	The idea struck me as a prudent one, though I think it would scarcely have occurred to me, had they not proposed it […] I must confess, that the papers were scarcely worth the cost of obtaining them—the apprehension of danger to my personal safety never having suggested itself to me in the remotest manner.	"[""racism-and-slavery"", ""truth-and-justice""]"
67	Though suspicions of Brown and Hamilton were not unfrequent, I could not reconcile myself to the idea that they were instrumental to my imprisonment. Surely they would seek me out—they would deliver me from thraldom. Alas! I had not then learned the measure “man’s inhumanity to man,” nor to what limitless extent of wickedness he will go for the love of gain.	"[""racism-and-slavery"", ""truth-and-justice""]"
68	So we passed, hand-cuffed and in silence, through the streets of Washington—though the Capital of a nation, whose theory of government, we are told, rests on the foundation of man’s inalienable right to life, LIBERTY, and the pursuit of happiness! Hail! Columbia, happy land indeed! 	"[""racism-and-slavery"", ""truth-and-justice""]"
69	My cup of sorrow was full to overflowing. Then I lifted up my hands to God, and in the still watches of the night […] begged for mercy on the poor, forsaken captive. To the Almighty Father of us all—the freeman and the slave—I poured forth the supplications of a broken spirit, imploring strength from on high to bear up against the burden of my troubles […].	"[""racism-and-slavery"", ""family"", ""christianity""]"
70	He would make us hold up our heads, walk briskly back and forth, while customers would feel of our hands and arms and bodies, turn us about, ask us what we could do, make us open our mouths and show our teeth, precisely as a jockey examines a horse which he is about to barter for or purchase. 	"[""racism-and-slavery""]"
71	The influences and associations that had always surrounded him, blinded him to the inherent wrong at the bottom of the system of Slavery. He never doubted the moral right of one man holding another in subjection. Looking through the same medium with his fathers before him, he saw things in the same light. Brought up under other circumstances and influences, his notions would undoubtedly have been different.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
72	He was my master, entitled by law to my flesh and blood, and to exercise over me such tyrannical control as his mean nature prompted; but there was no law that could prevent my looking upon him with intense contempt.	"[""racism-and-slavery"", ""truth-and-justice""]"
73	I must toil day after day, endure abuse and taunts and scoffs, sleep on the hard ground, live on the coarsest fare, and not only this, but live the slave of a blood-seeking wretch, of whom I must stand henceforth in continued fear and dread. […] I sighed for liberty; but the bondman’s chain was round me, and could not be shaken off.	"[""racism-and-slavery"", ""truth-and-justice""]"
74	Bent with excessive toil—actually suffering for a little refreshing rest, and feeling rather as if we could cast ourselves upon the earth and weep, many a night in the house of Edwin Epps have his unhappy slaves been made to dance and laugh. 	"[""racism-and-slavery"", ""the-power-of-music""]"
75	The existence of Slavery in its most cruel form among them has a tendency to brutalize the humane and finer feelings of their nature. Daily witnesses of human suffering—listening to the agonizing screeches of the human slave—beholding him writhing beneath the merciless lash—bitten and torn by dogs—dying without attention, and buried without shroud or coffin—it cannot otherwise be expected, than that they should become brutified and reckless of human life. 	"[""racism-and-slavery"", ""truth-and-justice""]"
76	Alas! Had it not been for my beloved violin, I scarcely can conceive how I could have endured the long years of bondage. It […] relieved me of many days’ labor in the field […] and oftentimes led me away from the presence of a hard master. […] It was my companion—the friend of my bosom—triumphing loudly when I was joyful, and uttering its soft, melodious consolations when I was sad. Often […] it would sing me a song of peace.	"[""racism-and-slavery"", ""christianity"", ""the-power-of-music""]"
77	No man who has never been placed in such a situation, can comprehend the thousand obstacles thrown in the way of the flying slave. Every white man’s hand is raised against him—the patrollers are watching for him—the hounds are ready to follow on his track—and the nature of the country is such as renders it impossible to pass through it with any safety.	"[""racism-and-slavery"", ""truth-and-justice""]"
78	It was the Sabbath of the Lord. The fields smiled in the warm sunlight—the birds chirped merrily amidst the foliage of the trees—peace and happiness seemed to reign everywhere, save in the bosoms of Epps and his panting victim and the silent witnesses around him. The tempestuous emotions that were raging there were little in harmony with the calm and quiet beauty of the day. I could look on Epps only with unutterable loathing and abhorrence, and thought within myself—“Thou devil, sooner or later, somewhere in the course of eternal justice, thou shalt answer for this sin!”	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
79	If they are baboons, or stand no higher in the scale of intelligence than such animals, you and men like you will have to answer for it. There’s a sin, a fearful sin, resting on this nation, that will not go unpunished forever. There will be a reckoning yet—yes, Epps, there’s a day coming that will burn as an oven. It may be sooner or it may be later, but it’s a coming as sure as the Lord is just. 	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
80	The secret was out—the mystery was unraveled. Through the thick, black cloud, amid whose dark and dismal shadows I had walked twelve years, broke the star that was to light me back to liberty.	"[""racism-and-slavery"", ""truth-and-justice"", ""christianity""]"
81	I was then offered as a witness, but, objection being made, the court decided my evidence inadmissible. It was rejected solely on the ground that I was a colored man—the fact of my being a free citizen of New-York not being disputed. […] Burch himself was offered as a witness in his own behalf. It was contended by counsel for the people, that such testimony should not be allowed—that it was in contravention of every rule of evidence, and if permitted would defeat the ends of justice. His testimony, however, was received by the court!	"[""racism-and-slavery"", ""truth-and-justice""]"
82	[King George III] had denounced the leaders of the uprising for having American independence as their true objective, something those leaders themselves had not yet openly declared.	"[""leadership"", ""idealism-vs-practicality"", ""colonial-society"", ""british-society""]"
83	"There had been sickness aplenty from the start, deadly ""camp fever,"" which grew worse as summer went on. Anxious mothers and wives from the surrounding towns and countryside came to nurse the sick and dying."	"[""idealism-vs-practicality"", ""colonial-society""]"
84	But for all his raw courage in the heat and tumult of war, Billy Howe could be, in the intervals between actions, slow-moving, procrastinating, negligent in preparing for action, interested more in his own creature comforts and pleasures.	"[""leadership"", ""british-society""]"
85	"Furthermore, as he knew, discipline was hardly improved, and too many of the new troops were raw recruits as unruly as those of the summer before. Some who were lauded as shining examples of patriotism looked hardly fit for battle, like the Connecticut unit comprised entirely of ""aged gentlemen."""	"[""military-strategy"", ""leadership"", ""idealism-vs-practicality""]"
86	Remember officers and soldiers that you are free men, fighting for the blessings of liberty- that slavery will be your portion, and that of your posterity, if you do not acquit yourselves like men.	"[""leadership"", ""idealism-vs-practicality""]"
87	There was no ringing call for valor in the cause of country or the blessings of liberty, as Washington had exhorted his troops at Brooklyn, only a final reminder of the effectiveness of bayonets.	"[""leadership"", ""idealism-vs-practicality""]"
88	"Possibly, Washington was more hurt than angry. Later he would tell Reed, ""I was hurt not because I thought my judgment wronged by the expressions contained in it [the letter], but because the same sentiments were not communicated immediately to myself."" Possibly the charge of ""fatal indecision of mind"" also hurt deeply, because Washington knew it to be true."	"[""leadership""]"
89	She's one of these cash-register-watchers, a witch about fifty with rouge on her cheekbones and no eyebrows, and I know it made her day to trip me up. She'd been watching cash registers forty years and probably never seen a mistake before.	"[""appearances-and-inner-lives""]"
90	Thus far the history of my life presents nothing whatever unusual—nothing but the common hopes, and loves, and labors of an obscure colored man, making his humble progress in the world […] Now I had approached within the shadow of the cloud, into the thick darkness whereof I was soon to disappear, thenceforward to be hidden from the eyes of all my kindred, and shut out from the sweet light of liberty, for many a weary year.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
91	The idea struck me as a prudent one, though I think it would scarcely have occurred to me, had they not proposed it […] I must confess, that the papers were scarcely worth the cost of obtaining them—the apprehension of danger to my personal safety never having suggested itself to me in the remotest manner.	"[""racism-and-slavery"", ""truth-and-justice""]"
92	Though suspicions of Brown and Hamilton were not unfrequent, I could not reconcile myself to the idea that they were instrumental to my imprisonment. Surely they would seek me out—they would deliver me from thraldom. Alas! I had not then learned the measure “man’s inhumanity to man,” nor to what limitless extent of wickedness he will go for the love of gain.	"[""racism-and-slavery"", ""truth-and-justice""]"
93	So we passed, hand-cuffed and in silence, through the streets of Washington—though the Capital of a nation, whose theory of government, we are told, rests on the foundation of man’s inalienable right to life, LIBERTY, and the pursuit of happiness! Hail! Columbia, happy land indeed! 	"[""racism-and-slavery"", ""truth-and-justice""]"
94	My cup of sorrow was full to overflowing. Then I lifted up my hands to God, and in the still watches of the night […] begged for mercy on the poor, forsaken captive. To the Almighty Father of us all—the freeman and the slave—I poured forth the supplications of a broken spirit, imploring strength from on high to bear up against the burden of my troubles […].	"[""racism-and-slavery"", ""family"", ""christianity""]"
95	He would make us hold up our heads, walk briskly back and forth, while customers would feel of our hands and arms and bodies, turn us about, ask us what we could do, make us open our mouths and show our teeth, precisely as a jockey examines a horse which he is about to barter for or purchase. 	"[""racism-and-slavery""]"
96	The influences and associations that had always surrounded him, blinded him to the inherent wrong at the bottom of the system of Slavery. He never doubted the moral right of one man holding another in subjection. Looking through the same medium with his fathers before him, he saw things in the same light. Brought up under other circumstances and influences, his notions would undoubtedly have been different.	"[""racism-and-slavery"", ""truth-and-justice"", ""family""]"
97	He was my master, entitled by law to my flesh and blood, and to exercise over me such tyrannical control as his mean nature prompted; but there was no law that could prevent my looking upon him with intense contempt.	"[""racism-and-slavery"", ""truth-and-justice""]"
98	I must toil day after day, endure abuse and taunts and scoffs, sleep on the hard ground, live on the coarsest fare, and not only this, but live the slave of a blood-seeking wretch, of whom I must stand henceforth in continued fear and dread. […] I sighed for liberty; but the bondman’s chain was round me, and could not be shaken off.	"[""racism-and-slavery"", ""truth-and-justice""]"
99	Bent with excessive toil—actually suffering for a little refreshing rest, and feeling rather as if we could cast ourselves upon the earth and weep, many a night in the house of Edwin Epps have his unhappy slaves been made to dance and laugh. 	"[""racism-and-slavery"", ""the-power-of-music""]"
100	The existence of Slavery in its most cruel form among them has a tendency to brutalize the humane and finer feelings of their nature. Daily witnesses of human suffering—listening to the agonizing screeches of the human slave—beholding him writhing beneath the merciless lash—bitten and torn by dogs—dying without attention, and buried without shroud or coffin—it cannot otherwise be expected, than that they should become brutified and reckless of human life. 	"[""racism-and-slavery"", ""truth-and-justice""]"
